<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.01.02	0.70058	0.70080	0.69783	0.69895	20238	0	3
2020.01.03	0.69897	0.69925	0.69300	0.69444	32351	0	3
2020.01.06	0.69409	0.69575	0.69251	0.69381	27757	0	3
2020.01.07	0.69383	0.69419	0.68588	0.68682	31420	0	3
2020.01.08	0.68682	0.68851	0.68488	0.68643	43888	0	3
2020.01.09	0.68643	0.68801	0.68499	0.68581	21914	0	4
2020.01.10	0.68577	0.69106	0.68504	0.68984	26992	0	4
2020.01.13	0.68962	0.69195	0.68932	0.69027	22809	0	4
2020.01.14	0.69027	0.69094	0.68847	0.68997	26136	0	4
2020.01.15	0.68999	0.69164	0.68769	0.69000	23695	0	4
2020.01.16	0.69001	0.69334	0.68876	0.68969	24711	0	3
2020.01.17	0.68968	0.69108	0.68704	0.68710	22020	0	3
2020.01.20	0.68729	0.68882	0.68548	0.68715	16085	0	4
2020.01.21	0.68715	0.68802	0.68422	0.68439	27717	0	4
2020.01.22	0.68439	0.68559	0.68267	0.68438	25382	0	4
2020.01.23	0.68437	0.68784	0.68289	0.68457	31925	0	4
2020.01.24	0.68461	0.68569	0.68172	0.68251	25673	0	4
2020.01.27	0.68104	0.68180	0.67515	0.67599	31682	0	4
2020.01.28	0.67599	0.67645	0.67366	0.67611	24857	0	4
2020.01.29	0.67611	0.67770	0.67348	0.67534	26737	0	4
2020.01.30	0.67524	0.67546	0.66997	0.67204	33660	0	4
2020.01.31	0.67203	0.67293	0.66825	0.66861	32669	0	3
2020.02.03	0.66828	0.67067	0.66826	0.66904	33598	0	4
2020.02.04	0.66906	0.67414	0.66783	0.67381	30942	0	3
2020.02.05	0.67370	0.67738	0.67234	0.67459	31710	0	4
2020.02.06	0.67459	0.67645	0.67266	0.67279	25106	0	4
2020.02.07	0.67280	0.67358	0.66617	0.66759	29929	0	4
2020.02.10	0.66667	0.67070	0.66662	0.66856	31513	0	4
2020.02.11	0.66856	0.67363	0.66802	0.67136	27178	0	4
2020.02.12	0.67136	0.67496	0.67114	0.67367	27070	0	4
2020.02.13	0.67345	0.67448	0.67066	0.67185	31201	0	4
2020.02.14	0.67186	0.67313	0.67090	0.67131	20144	0	4
2020.02.17	0.67212	0.67331	0.67114	0.67128	16080	0	4
2020.02.18	0.67128	0.67153	0.66732	0.66835	23428	0	4
2020.02.19	0.66836	0.67071	0.66649	0.66741	21731	0	4
2020.02.20	0.66736	0.66935	0.66099	0.66139	35151	0	4
2020.02.21	0.66131	0.66385	0.65854	0.66262	32809	0	4
2020.02.24	0.65857	0.66195	0.65854	0.66017	40463	0	4
2020.02.25	0.66018	0.66222	0.65861	0.66024	40687	0	4
2020.02.26	0.66024	0.66065	0.65418	0.65429	46637	0	4
2020.02.27	0.65425	0.65917	0.65423	0.65665	51241	0	2
2020.02.28	0.65662	0.65852	0.64336	0.65051	81342	0	2
2020.03.02	0.64695	0.65677	0.64695	0.65369	57250	0	1
2020.03.03	0.65367	0.66452	0.65095	0.65828	56435	0	2
2020.03.04	0.65820	0.66276	0.65769	0.66257	37077	0	1
2020.03.05	0.66257	0.66365	0.65836	0.66132	32927	0	2
2020.03.06	0.66082	0.66571	0.65848	0.66435	45852	0	2
2020.03.09	0.65950	0.66840	0.63112	0.65856	102158	0	2
2020.03.10	0.65856	0.66122	0.64615	0.64893	91480	0	16
2020.03.11	0.64893	0.65393	0.64809	0.64866	76980	0	1
2020.03.12	0.64880	0.64918	0.62119	0.63013	121354	0	1
2020.03.13	0.63013	0.63252	0.61222	0.61774	103468	0	0
2020.03.16	0.62410	0.62790	0.60789	0.61027	107924	0	0
2020.03.17	0.61024	0.61486	0.59587	0.60117	96058	0	0
2020.03.18	0.60121	0.60286	0.57010	0.57846	109096	0	0
2020.03.19	0.57846	0.59640	0.55073	0.57297	150746	0	0
2020.03.20	0.57347	0.59853	0.56636	0.58006	134236	0	0
2020.03.23	0.58018	0.58453	0.56997	0.58210	173497	0	0
2020.03.24	0.58210	0.59796	0.58105	0.59668	134584	0	0
2020.03.25	0.59681	0.60733	0.59304	0.59565	105758	0	0
2020.03.26	0.59565	0.60872	0.58700	0.60386	100759	0	0
2020.03.27	0.60396	0.62000	0.60224	0.61656	109887	0	0
2020.03.30	0.61502	0.61842	0.61114	0.61664	111485	0	0
2020.03.31	0.61629	0.62136	0.60787	0.61313	136280	0	0
2020.04.01	0.61316	0.61846	0.60387	0.60685	95715	0	0
2020.04.02	0.60693	0.61188	0.60065	0.60559	98170	0	0
2020.04.03	0.60562	0.60753	0.59797	0.59939	84636	0	0
2020.04.06	0.60097	0.61061	0.59843	0.60858	71535	0	0
2020.04.07	0.60856	0.62078	0.60749	0.61681	62026	0	2
2020.04.08	0.61682	0.62444	0.61152	0.62277	56672	0	2
2020.04.09	0.62277	0.63626	0.61948	0.63365	55836	0	2
2020.04.10	0.63359	0.63675	0.63119	0.63459	18319	0	0
2020.04.13	0.63472	0.64089	0.63257	0.63798	32793	0	2
2020.04.14	0.63797	0.64443	0.63724	0.64413	45784	0	1
2020.04.15	0.64411	0.64434	0.62837	0.63161	49633	0	2
2020.04.16	0.63162	0.63336	0.62635	0.63263	59315	0	2
2020.04.17	0.63264	0.63848	0.63141	0.63619	56217	0	2
2020.04.20	0.63571	0.63968	0.63326	0.63348	47718	0	2
2020.04.21	0.63351	0.63465	0.62532	0.62786	54861	0	2
2020.04.22	0.62781	0.63518	0.62749	0.63213	46024	0	2
2020.04.23	0.63207	0.64058	0.62827	0.63691	51921	0	2
2020.04.24	0.63693	0.63960	0.63368	0.63956	39833	0	0
2020.04.27	0.63803	0.64715	0.63797	0.64634	34744	0	0
2020.04.28	0.64636	0.65136	0.64342	0.64892	39680	0	2
2020.04.29	0.64881	0.65577	0.64851	0.65555	39791	0	0
2020.04.30	0.65547	0.65696	0.64899	0.65083	50582	0	0
2020.05.01	0.65083	0.65112	0.64092	0.64203	38187	0	2
2020.05.04	0.64106	0.64345	0.63724	0.64215	41521	0	2
2020.05.05	0.64215	0.64759	0.64156	0.64272	41391	0	1
2020.05.06	0.64291	0.64526	0.63934	0.63943	40523	0	2
2020.05.07	0.63943	0.65057	0.63783	0.64930	41635	0	1
2020.05.08	0.64930	0.65477	0.64920	0.65294	34229	0	1
2020.05.11	0.65296	0.65612	0.64560	0.64879	39056	0	0
2020.05.12	0.64879	0.65360	0.64318	0.64688	44380	0	2
2020.05.13	0.64688	0.65238	0.64380	0.64521	58143	0	1
2020.05.14	0.64514	0.64688	0.64033	0.64589	50461	0	0
2020.05.15	0.64589	0.64734	0.64019	0.64155	42269	0	2
2020.05.18	0.64164	0.65269	0.64099	0.65239	36858	0	2
2020.05.19	0.65222	0.65846	0.65096	0.65352	42195	0	1
2020.05.20	0.65352	0.66159	0.65248	0.65960	38925	0	1
2020.05.21	0.65949	0.65984	0.65487	0.65642	43434	0	2
2020.05.22	0.65642	0.65721	0.65055	0.65356	40269	0	2
2020.05.25	0.65297	0.65499	0.65195	0.65419	24459	0	0
2020.05.26	0.65419	0.66749	0.65375	0.66487	38970	0	0
2020.05.27	0.66487	0.66802	0.65671	0.66181	56399	0	0
2020.05.28	0.66184	0.66670	0.65879	0.66344	52421	0	2
2020.05.29	0.66344	0.66828	0.66118	0.66674	60178	0	2
2020.06.01	0.66585	0.68029	0.66478	0.67968	52365	0	0
2020.06.02	0.67961	0.68983	0.67746	0.68953	53994	0	0
2020.06.03	0.68953	0.69834	0.68561	0.69186	66771	0	0
2020.06.04	0.69186	0.69873	0.68819	0.69415	64388	0	2
2020.06.05	0.69415	0.70127	0.69306	0.69653	61678	0	2
2020.06.08	0.69630	0.70290	0.69617	0.70200	44839	0	1
2020.06.09	0.70200	0.70424	0.68982	0.69600	56656	0	2
2020.06.10	0.69600	0.70639	0.69324	0.69968	64160	0	1
2020.06.11	0.69968	0.70144	0.68392	0.68538	81056	0	1
2020.06.12	0.68538	0.69114	0.67994	0.68701	90008	0	2
2020.06.15	0.68375	0.69248	0.67762	0.69178	83336	0	1
2020.06.16	0.69182	0.69764	0.68333	0.68884	79544	0	0
2020.06.17	0.68880	0.69224	0.68519	0.68834	64002	0	0
2020.06.18	0.68834	0.69021	0.68354	0.68515	60164	0	2
2020.06.19	0.68515	0.69112	0.68293	0.68343	53788	0	2
2020.06.22	0.68098	0.69222	0.68098	0.69071	44275	0	2
2020.06.23	0.69008	0.69742	0.68577	0.69288	56729	0	0
2020.06.24	0.69280	0.69615	0.68621	0.68675	56875	0	1
2020.06.25	0.68665	0.68922	0.68468	0.68859	53201	0	1
2020.06.26	0.68859	0.68952	0.68403	0.68603	42345	0	2
2020.06.29	0.68538	0.68905	0.68414	0.68629	42252	0	1
2020.06.30	0.68648	0.69117	0.68324	0.69022	46827	0	2
2020.07.01	0.69029	0.69434	0.68767	0.69141	45747	0	2
2020.07.02	0.69141	0.69519	0.69012	0.69224	52331	0	2
2020.07.03	0.69261	0.69473	0.69136	0.69400	37452	0	2
2020.07.06	0.69280	0.69872	0.69264	0.69725	40505	0	2
2020.07.07	0.69714	0.69973	0.69217	0.69455	48870	0	1
2020.07.08	0.69455	0.69861	0.69270	0.69802	47669	0	0
2020.07.09	0.69800	0.70007	0.69497	0.69636	51209	0	1
2020.07.10	0.69642	0.69690	0.69233	0.69470	43149	0	2
2020.07.13	0.69479	0.69928	0.69387	0.69391	48743	0	2
2020.07.14	0.69389	0.69773	0.69209	0.69745	59425	0	2
2020.07.15	0.69745	0.70374	0.69670	0.70071	46801	0	0
2020.07.16	0.70060	0.70138	0.69629	0.69690	47786	0	2
2020.07.17	0.69690	0.70048	0.69659	0.69956	34516	0	2
2020.07.20	0.69848	0.70172	0.69725	0.70159	35040	0	2
2020.07.21	0.70136	0.71467	0.70097	0.71269	44760	0	2
2020.07.22	0.71269	0.71824	0.71114	0.71389	50154	0	0
2020.07.23	0.71402	0.71614	0.70901	0.70973	46926	0	0
2020.07.24	0.70944	0.71250	0.70634	0.71056	44231	0	2
2020.07.27	0.70843	0.71498	0.70843	0.71470	43519	0	2
2020.07.28	0.71455	0.71764	0.71125	0.71579	45355	0	2
2020.07.29	0.71579	0.71963	0.71487	0.71865	43473	0	1
2020.07.30	0.71856	0.71972	0.71204	0.71940	50423	0	2
2020.07.31	0.71926	0.72270	0.71331	0.71414	58801	0	1
2020.08.03	0.71281	0.71494	0.70761	0.71232	39499	0	2
2020.08.04	0.71227	0.71667	0.71056	0.71592	46798	0	2
2020.08.05	0.71585	0.72408	0.71535	0.71908	43767	0	2
2020.08.06	0.71902	0.72391	0.71741	0.72348	50409	0	1
2020.08.07	0.72336	0.72429	0.71442	0.71599	51831	0	2
2020.08.10	0.71586	0.71839	0.71399	0.71482	34553	0	2
2020.08.11	0.71465	0.71893	0.71347	0.71422	47556	0	2
2020.08.12	0.71390	0.71756	0.71088	0.71611	49153	0	2
